date,-9,-7,-5,-3,-1,1,3,5,7,9,11
4/15/09,5650,164000,360150,24650,0,0,0,0,0,0,0
4/16/09,6150,164300,359225,30925,0,0,0,0,0,0,0
4/17/09,5600,164350,360075,36175,0,0,0,0,0,0,0
4/18/09,6450,164150,360975,40925,0,0,0,0,0,0,0
4/19/09,6350,164000,362125,45975,0,0,0,0,0,0,0
4/20/09,11700,163450,357250,52000,0,0,0,0,0,0,0
4/21/09,6200,169200,357550,57600,0,0,0,0,0,0,0
4/22/09,6050,169150,358950,62450,0,0,0,0,0,0,0
4/23/09,3750,170250,359200,67150,0,0,0,0,0,0,0
4/24/09,5750,168650,360200,71500,0,0,0,0,0,0,0
4/25/09,5900,167450,357150,81500,0,0,0,0,0,0,0
4/26/09,6350,167850,352800,90600,0,0,0,0,0,0,0
4/27/09,5200,167750,353900,95950,0,0,0,0,0,0,0
4/28/09,5850,167500,354600,100700,0,0,0,0,0,0,0
4/29/09,7400,167100,354550,106000,0,0,0,0,0,0,0
4/30/09,6550,167750,354850,112450,0,0,0,0,0,0,0
5/1/09,6050,168950,354750,117900,0,0,0,0,0,0,0
5/2/09,7000,168950,353750,124250,0,0,0,0,0,0,0
5/3/09,5350,170600,353500,129800,0,0,0,0,0,0,0
5/4/09,7900,169250,352750,135750,0,0,0,0,0,0,0
5/5/09,7250,169900,352500.04,142749.96,0,0,0,0,0,0,0
5/6/09,6750,172050,351950.04,148399.96,0,0,0,0,0,0,0
5/7/09,6100,174050,350600.04,154499.96,0,0,0,0,0,0,0
5/8/09,5350,175200,349600.04,160449.96,0,0,0,0,0,0,0
5/9/09,3900,176000,347100.04,167499.96,0,0,0,0,0,0,0
5/10/09,4250,174800,345000.04,174699.96,0,0,0,0,0,0,0
5/11/09,6100,173350,341900.04,183399.96,0,0,0,0,0,0,0
5/12/09,6500,173200,342250.04,189299.96,0,0,0,0,0,0,0
5/13/09,5650,174000,341000,196150,0,0,0,0,0,0,0
5/14/09,7100,173700,341100,201850,0,0,0,0,0,0,0
5/15/09,7250,174850,340750,207700,0,0,0,0,0,0,0
5/16/09,5950,176150,340350,214050,0,0,0,0,0,0,0
5/17/09,6350,176500,339400,220600,0,0,0,0,0,0,0
5/18/09,5900,176600,338450,227800,0,0,0,0,0,0,0
