,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt,Volume,Type,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility,PU_future90d,NVTAdj90_future90d,PM_future90d,PriceChange30d,PriceChange60d,PriceChange90d,PriceChange180d,future30d_ROI,future60d_ROI,future90d_ROI,future180d_ROI
2009-02-03,139.0,6950.0,146400.0,,,,,,,154.0,,,,,,,,,23716.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-04,119.0,5950.0,152350.0,,,,,,,119.0,,,,,,,,,14161.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-05,126.0,6300.0,158650.0,,,,,,,126.0,,,,,,,,,15876.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-06,122.0,6100.0,164750.0,,,,,,,122.0,,,,,,,,,14884.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-07,129.0,6450.0,171200.0,,,,,,,156.0,,,1216.6666666666667,,,,,,24336.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-08,132.0,6600.0,177800.0,,,,,,,134.0,,,1210.165916760405,,,,,,17956.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-09,134.0,6700.0,184500.0,,,,,,,179.0,,,1190.2890695573626,,,,,,32041.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-10,120.0,6000.0,190500.0,,,,,,,120.0,,,1161.4216972878392,,,,,,14400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-11,133.0,6650.0,197150.0,,,,,,,148.0,,,1134.2801589314395,,,,,,21904.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-12,119.0,5950.0,203100.0,,,,,,,119.0,,,1099.8522895125554,,,,,,14161.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
