,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt,Volume,Type,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility
2010-11-27,180.0,9000.0,4711050.0,6382.0462,1333227.15,166.59510378912805,0.28300000000000003,0.00566,2547.0,828.0,,,77.21916204101704,6382.0462,0.6002577370255583,2547.00566,148665.19378037393,1.4341064021379801,685584.0,41.27867628182688,73.49117770745282,26.508822292547208,0.0,0.0,0.0,26.508822292547208,0.0,0.0,0.0,0.20606446975020143,1.3733566021501065,0.13842573922710782,0.11304607771988082,0.09429484303131176,0.09429484303131176,0.10445814978237973,2.709218960795122
2010-11-28,172.0,8600.0,4719650.0,5545.266166272943,1280717.9899795454,158.9907359373951,0.271358679135009,0.0,2333.684640561077,707.0,,,76.42109760963913,5545.266166272943,0.628967464112981,2333.684640561077,150998.878420935,1.5035520866518004,499849.0,54.28813084251623,73.49283007665476,26.50716992334524,0.0,0.0,0.0,26.50716992334524,0.0,0.0,0.0,0.2181615806234566,1.243842652585882,0.1382299038889961,0.11336423853146395,0.09451799812365069,0.09451799812365069,0.11032931247571358,2.459533854112816
2010-11-29,209.0,10450.0,4730100.0,7707.738659477339,1090569.2849929885,134.3559102234595,0.230559456458212,0.00691678369374636,2409.3463199883154,905.0,,,75.69924525908543,7707.738659477339,0.7442917831726269,2409.353236772009,153408.23165770702,1.2401091750159359,819025.0,28.150478490670245,73.50037709959034,26.49962290040968,0.0,0.0,0.0,26.49962290040968,0.0,0.0,0.0,0.2605501747665165,0.884894652881428,0.14162005731347596,0.1156909263810522,0.09567873239586458,0.09567873239586458,0.13016766399794688,1.7712498586580503
2010-11-30,202.0,10100.0,4740200.0,11747.016678,986909.64,119.91172957740964,0.2082,0.002082,2102.82,817.0,,,75.83312237177053,11747.016678,0.8339467736177089,2102.822082,155511.05373970701,1.2858253917638192,667489.0,31.191525253599682,73.51544063262834,26.484559367371663,0.0,0.0,0.0,26.484559367371663,0.0,0.0,0.0,0.2912541663104224,0.7148395596789431,0.14289849646666264,0.11676810632291583,0.09644441082756997,0.09644441082756997,0.14435181117110932,1.4423095790132303
2010-12-01,188.0,9400.0,4749600.0,10117.29355,1080534.0,129.7913094267472,0.2275,0.0091,2138.5,1127.0,,,75.82392903262028,10117.29355,0.770467610209595,2138.5091,157649.562839707,1.3843135497004295,1270129.0,17.91156646293408,73.51251636018758,26.487483639812424,0.0,0.0,0.0,26.487483639812424,0.0,0.0,0.0,0.26914654095084395,0.8452644392020995,0.14366356758134752,0.11698012140779405,0.09676687215737832,0.09676687215737832,0.13295027942403137,1.7111660162398903
2010-12-02,188.0,9400.0,4759000.0,10956.29175,1213545.0,143.89982129507817,0.255,0.0153,2397.0,770.0,,,75.82755480843313,10956.29175,0.6949278956708497,2397.0153,160046.578139707,1.3870503129111476,592900.0,43.00893911283522,73.50784291665559,26.492157083344413,0.0,0.0,0.0,26.492157083344413,0.0,0.0,0.0,0.24278956403408447,1.0502922603551499,0.1449203122140674,0.1174992659905153,0.09715736498990336,0.09715736498990336,0.11944870415021461,2.1348075880280852
2010-12-03,189.0,9450.0,4768450.0,6789.970172352786,1197167.455532059,141.01023517259816,0.25106008357685605,0.0025106008357685602,2372.517789801289,887.0,,,75.6645241116086,6789.970172352786,0.7091683797108689,2372.5203004021246,162419.09844010914,1.3824584921436558,786769.0,31.910266364950328,73.50485507842004,26.49514492157996,0.0,0.0,0.0,26.49514492157996,0.0,0.0,0.0,0.2483266658298957,1.011007346866376,0.14499855485380575,0.11759905240701682,0.09723024303367257,0.09723024303367257,0.12208129888699012,2.056499118749226
2010-12-04,229.0,11450.0,4779900.0,10844.929626863805,979882.0142665092,114.4929768280248,0.20500052600818205,0.0022359960873132635,2347.256022793684,731.0,,,75.83962704938038,10844.929626863805,0.8734160187852036,2347.2582587897714,164766.35669889892,1.1437208701732602,534361.0,38.36367661715246,73.53245346657584,26.46754653342416,0.0,0.0,0.0,26.46754653342416,0.0,0.0,0.0,0.3048166244961026,0.6725372224926112,0.14587204089502284,0.12074232965652786,0.09952625862171254,0.09952625862171254,0.14639563444365736,1.40031857361894
2010-12-05,239.0,11950.0,4791850.0,3685.444030556164,972026.85651841,113.70014384455364,0.20285001753360604,0.008114000701344241,2424.057709526592,685.0,,,75.9044001794714,3685.444030556164,0.8795063631292853,2424.0658235272936,167190.4225224262,1.0986035330746642,469225.0,43.23086313252833,73.57712396436685,26.42287603563316,0.0,0.0,0.0,26.42287603563316,0.0,0.0,0.0,0.30616258807879704,0.6625565154988778,0.14398248423427656,0.12083817346932073,0.09955198391888274,0.09955198391888274,0.14700406911088743,1.3798938951859432
2010-12-06,241.0,12050.0,4803900.0,18849.192,979995.6,112.0046561138245,0.204,0.00921817452,2458.2,742.0,,,76.00525961545134,18849.192,0.8928200261458344,2458.2092181745197,169648.63174060071,1.0922257683374206,550564.0,37.05291301283774,73.59565587654666,26.40434412345334,0.0,0.0,0.0,26.40434412345334,0.0,0.0,0.0,0.31016705067438155,0.6577100938234813,0.10047362859942337,0.12074976325272332,0.09952856257178046,0.09952856257178046,0.14896185905134798,1.3694780751204243
2010-12-07,239.0,11950.0,4815850.0,16922.786561385412,1124117.5646627713,125.89793708181412,0.233420385739334,0.016840433515092713,2789.373609585041,1138.0,,,75.79139715730349,16922.786561385412,0.7942941903409866,2789.390450018556,172438.02219061926,1.1041029231818478,1295044.0,18.024127808733446,73.61294680782085,26.387053192179156,0.0,0.0,0.0,26.387053192179156,0.0,0.0,0.0,0.2765364386576268,0.8440854553288228,0.10130244016559112,0.11780931553825949,0.10038379622255135,0.10038379622255135,0.13167881368323545,1.7726495190095388
2010-12-08,238.0,11900.0,4827750.0,5964.87774,1152866.7,128.43615818101762,0.2388,0.009552,2841.72,903.0,,,75.1383494726667,5964.87774,0.7785969419846723,2841.729552,175279.75174261926,1.111484694905826,815409.0,29.28591663815337,73.62603519728805,26.373964802711924,0.0,0.0,0.0,26.373964802711924,0.0,0.0,0.0,0.27329171438444827,0.8737915839778163,0.08676405861922375,0.11725112044595014,0.10036658284166856,0.10036658284166856,0.1301560865607838,1.8347201910413826
2010-12-09,223.0,11150.0,4838900.0,7939.334278886325,967739.8096973128,106.85605962426395,0.19999169433080105,0.007454212426031155,2229.907391788432,857.0,,,75.04064284582584,7939.334278886325,0.9358383637917048,2229.9148460008582,177509.6665886201,1.1889879782320525,734449.0,27.23016769453033,73.64719872756453,26.352801272435443,0.0,0.0,0.0,26.352801272435443,0.0,0.0,0.0,0.32864806975058813,0.6085284312869242,0.08975251770554135,0.11962578623199109,0.1021698412044334,0.1021698412044334,0.15375722158135072,1.300697894212327
2010-12-10,147.0,7350.0,4846250.0,6206.775479999998,988635.0,108.39961859637802,0.204,0.01428,1499.4,644.0,,,74.22388444673717,6206.775479999998,0.9225124709372483,1499.4142800000002,179009.0808686201,1.8064314027313986,414736.0,49.18791713282666,73.64254315815543,26.357456841844574,0.0,0.0,0.0,26.357456841844574,0.0,0.0,0.0,0.3275910823050543,0.6227275741591594,0.08922331165534318,0.11950613451526425,0.10213617507297218,0.10213617507297218,0.15331323097010882,1.33060922863059
2010-12-11,175.0,8750.0,4855000.0,7277.9424,1106940.0,120.4687800366365,0.228,0.02673253944,1995.0,1052.0,,,73.53879162375557,7277.9424,0.8300905842126762,1995.02673253944,181004.10760115954,1.520136186299032,1106704.0,20.601714640951872,73.60640958467903,26.39359041532098,0.0,0.0,0.0,26.39359041532098,0.0,0.0,0.0,0.29792535889652144,0.7652923565972488,0.09157739564520925,0.12014330559210136,0.10252586111365448,0.10252586111365448,0.13889966576999557,1.6414726323211315
2010-12-12,171.0,8550.0,4863550.0,4194.263877066567,1069269.0342673871,116.3961434538282,0.219853611922852,0.032664556920259234,1879.7483819403851,1220.0,,,73.43452827667033,4194.263877066567,0.8591349939327481,1879.7810464973054,182883.88864765686,1.5584284185283133,1488400.0,14.771137592236764,73.58966428983052,26.410335710169498,0.0,0.0,0.0,26.410335710169498,0.0,0.0,0.0,0.30898330993060646,0.7115387946754411,0.08388069980351445,0.1198555257651841,0.102687578244042,0.102687578244042,0.14382827262080045,1.528584108789865
2010-12-13,141.0,7050.0,4870600.0,20610.8695954824,1108574.0658889536,117.96027572577653,0.227605236703682,0.07089367795802967,1604.616918760958,1685.0,,,72.30406247005845,20610.8695954824,0.8477430167463412,1604.6878124389161,184488.57646009576,1.8926978805911412,2839225.0,8.016456487375322,73.55842224931183,26.44157775068817,0.0,0.0,0.0,26.44157775068817,0.0,0.0,0.0,0.31001941141528233,0.7341644694589671,0.08396985409824766,0.11971785234726363,0.10267466611155097,0.10267466611155097,0.1443287144344328,1.5769920600732639
2010-12-14,171.0,8550.0,4879150.0,4442.6229417,1203637.5135,127.69798992543792,0.24669,0.0120689110791,2109.1995,1103.0,,,71.11757853997793,4442.6229417,0.7830976827308667,2109.211568911079,186597.78802900683,1.5634453517577371,1216609.0,20.276851478165952,73.52803768217306,26.471962317826936,0.0,0.0,0.0,26.471962317826936,0.0,0.0,0.0,0.2914909755648653,0.8463040734690059,0.08542532638292516,0.1199960895674257,0.1027836311407185,0.1027836311407185,0.13555898627721083,1.81979820574589
2010-12-15,196.0,9800.0,4888950.0,7591.2504,1173348.0,123.63856195720993,0.24,0.0161833248,2352.0,1081.0,,,70.9252497980139,7591.2504,0.8088091483513775,2352.0161833248,188949.80421233163,1.3667644285722143,1168561.0,20.538080596562782,73.38027570590395,26.61972429409605,0.0,0.0,0.0,26.61972429409605,0.0,0.0,0.0,0.3035629285335165,0.7906103724832839,0.08528486126868409,0.11991289904252854,0.10290546248046034,0.10290546248046034,0.14100595692660398,1.7020557516227781
2010-12-16,173.0,8650.0,4897600.0,6874.1474604,1224204.096,128.3686603928533,0.24996,0.0258882222216,2162.154,954.0,,,70.50187847108788,6874.1474604,0.7790063376369653,2162.1798882222215,191111.98410055385,1.5512048016574758,910116.0,27.46463088221721,73.34175215257365,26.658247847426352,0.0,0.0,0.0,26.658247847426352,0.0,0.0,0.0,0.29455873338124505,0.8485913730368969,0.07989097146898262,0.11993215902259245,0.10278695106834507,0.10278695106834507,0.13698123419602942,1.8247754991190275
2010-12-17,166.0,8300.0,4905900.0,5292.879013786682,1190445.1643424917,124.4037135572676,0.24265581531268304,0.056886516191849285,2014.043267095269,795.0,,,69.37819768034407,5292.879013786682,0.8038345250358324,2014.1001536114607,193126.0842541653,1.6193303967978878,632025.0,38.393388760362804,73.29234697573715,26.707653024262857,0.0,0.0,0.0,26.707653024262857,0.0,0.0,0.0,0.309442076925883,0.7841720095835691,0.0790716263745266,0.12009142158154482,0.10292158256100661,0.10292158256100661,0.14371432750385876,1.6884594565296052
2010-12-18,161.0,8050.0,4913950.0,8138.512159999998,1184261.95,122.98049534552534,0.241,0.01603508924,1940.05,879.0,,,68.07608950030017,8138.512159999998,0.8131370728263899,1940.06603508924,195066.15028925452,1.6723932221832791,772641.0,31.191717757664943,73.21853330210676,26.78146669789323,0.0,0.0,0.0,26.78146669789323,0.0,0.0,0.0,0.3198921030360641,0.75337902284143,0.07635997870790205,0.11981294289317837,0.1029579740760618,0.1029579740760618,0.14851512528139119,1.6227303417303658
2010-12-19,184.0,9200.0,4923150.0,13596.438023,1182048.315,121.12120467489737,0.2401,0.027766410119,2208.92,1089.0,,,68.36899816851677,13596.438023,0.8256192651683985,2208.947766410119,197275.09805566465,1.466077461627632,1185921.0,20.245867979401666,73.13862142739148,26.86137857260852,0.0,0.0,0.0,26.86137857260852,0.0,0.0,0.0,0.3243761387853657,0.7401900796373626,0.07607306161208277,0.1198552272958685,0.10294110820794318,0.10294110820794318,0.15062158579230372,1.5940610287497607
2010-12-20,159.0,7950.0,4931100.0,9313.65954,1316603.7,133.67206345060842,0.267,0.01788717639,2122.65,1460.0,,,68.78924918713201,9313.65954,0.7480994713375528,2122.66788717639,199397.76594284104,1.6993395181833206,2131600.0,12.525802214299118,73.10676641982275,26.893233580177256,0.0,0.0,0.0,26.893233580177256,0.0,0.0,0.0,0.29247032147650526,0.9129131415867393,0.0788213717547221,0.12018464995966197,0.10338909890653987,0.10338909890653987,0.13521790639277834,1.9745905488613589
2010-12-21,196.0,9800.0,4940900.0,11341.154414815888,1192911.1439509054,119.90266600103745,0.241436002337814,0.0362154003506721,2366.072822910577,1083.0,,,69.3422925647824,11341.154414815888,0.8340098125852744,2366.1090383109276,201763.87498115198,1.3812760344246902,1172889.0,20.584727313310466,73.09598074605981,26.90401925394019,0.0,0.0,0.0,26.90401925394019,0.0,0.0,0.0,0.32358630246911113,0.746125532803914,0.08069483016761975,0.12086747031089548,0.10406454620568832,0.10406454620568832,0.14863274202404483,1.6243796558550745
2010-12-22,157.0,7850.0,4948750.0,5921.295,1237187.5,124.57132557738024,0.25,0.03435763,1962.5,1237.0,,,69.15854171928937,5921.295,0.8027529572837591,1962.53435763,203726.409338782,1.7271314417210253,1530169.0,16.338064619006136,73.02225378308714,26.97774621691287,0.0,0.0,0.0,26.97774621691287,0.0,0.0,0.0,0.3131423106690121,0.7983590574709886,0.08077665662216041,0.12088161849686942,0.10406298205387693,0.10406298205387693,0.14383767021574198,1.738070420808577
2010-12-23,145.0,7250.0,4956000.0,2564.331056546431,1238851.9543448256,124.53523103732132,0.249970127995324,0.01499820767971944,1812.283427966099,1002.0,,,69.11874495560936,2564.331056546431,0.8029856223579936,1812.2984261737788,205538.70776495576,1.8728234237759163,1004004.0,24.89732391457843,72.95562966524606,27.044370334753943,0.0,0.0,0.0,27.044370334753943,0.0,0.0,0.0,0.314187425690085,0.7956083138791651,0.08076860820449167,0.12046802760119107,0.10406487864269902,0.10406487864269902,0.1443150994161177,1.732113472579615
2010-12-24,148.0,7400.0,4963400.0,4921.2847200000015,1230923.2,123.29000375308348,0.248,0.01941673344,1835.2,845.0,,,68.66025976816967,4921.2847200000015,0.8110957657221985,1835.21941673344,207373.9271816892,1.8375962558034293,714025.0,34.732677427260946,72.90118334334346,27.098816656656545,0.0,0.0,0.0,27.098816656656545,0.0,0.0,0.0,0.3201231035319493,0.774701973284002,0.08077855819475226,0.11790063738027119,0.10407883561860796,0.10407883561860796,0.14702180450546906,1.686824623287593
2010-12-25,168.0,8400.0,4971800.0,5144.323947,1242452.82,123.91048960958383,0.2499,0.016850886948,2099.16,1076.0,,,68.38519248561889,5144.323947,0.8070341769698363,2099.1768508869477,209473.10403257617,1.6215786332289572,1157776.0,21.58448611821285,72.84969130406199,27.15030869593801,0.0,0.0,0.0,27.15030869593801,0.0,0.0,0.0,0.32040893995452535,0.7799407845345,0.08077493611017963,0.117552232030935,0.10406428660267339,0.10406428660267339,0.1471736527597001,1.69799414035084
2010-12-26,145.0,7250.0,4979050.0,4817.647385435421,1319259.6804850972,131.16231099615945,0.264962127410871,0.02534235301901697,1920.9754237288148,1032.0,,,67.68694161871575,4817.647385435421,0.7624141358940226,1921.0007660818337,211394.104798658,1.881524540405541,1065024.0,24.878512353793997,72.7915173769784,27.20848262302159,0.0,0.0,0.0,27.20848262302159,0.0,0.0,0.0,0.3064716956022532,0.8645566008638711,0.08149048441880583,0.11384588844594892,0.10413104392908423,0.10413104392908423,0.14068160162217114,1.8834170520924287
2010-12-27,166.0,8300.0,4987350.0,11977.421424143757,1320577.4081414351,130.2154591237462,0.264785388661601,0.02294237501410049,2197.7187258912886,1151.0,,,67.40353093326115,11977.421424143757,0.7679579726779456,2197.741668266303,213591.8464669243,1.64624457392756,1324801.0,19.986804709658358,72.71350817492711,27.28649182507289,0.0,0.0,0.0,27.28649182507289,0.0,0.0,0.0,0.3108869617561215,0.8517095318693829,0.08148360845201247,0.11325215557550408,0.10412043922573538,0.10412043922573538,0.14272290350349184,1.8552410451425745
2010-12-28,169.0,8450.0,4995800.0,8650.73674,1403819.8,137.38558933480505,0.281,0.02624334027,2374.45,1015.0,,,67.25299251371152,8650.73674,0.7278783785415993,2374.47624334027,215966.32271026456,1.6197600016520617,1030225.0,27.275595136984638,72.68964636089427,27.310353639105735,0.0,0.0,0.0,27.310353639105735,0.0,0.0,0.0,0.29557964904204226,0.9506743813747188,0.08179710278088904,0.11288805041471907,0.10418016937638667,0.10418016937638667,0.13561777818591284,2.071999731589679
2010-12-29,165.0,8250.0,5004050.0,24387.945,1501215.0,143.71175080704097,0.3,0.044258187,2475.0,1042.0,,,66.60721482266031,24387.945,0.6958373232420504,2475.044258187,218441.36696845156,1.661755257351212,1085764.0,27.63031376984317,72.65053956663586,27.349460433364136,0.0,0.0,0.0,27.349460433364136,0.0,0.0,0.0,0.285716425626493,1.0499921358815378,0.0771139314510042,0.11305846843850917,0.1042634615873438,0.1042634615873438,0.13098761176363133,2.290292921298187
