,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,Volume,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility
2018-01-04,1253986,168,179114912,1066160.19047619,2.94402195,252918055361.86136,85909025021.17284,1931136454487.71,0.0018293017442002802,27.56812753660393,0.0010428,15.715309672838268,777.017867470151,11709892.98870524,16127548.725824099,2100.0,4.56724433755533,31647631.67717718,2100.0,31647631.67717718,34.29180194,58.194147612595216,1,15070.3007986558,1228.3691509459795,28.40262914561871,16782548.58618486,20275681.25,13985288.19197567,424762,1191394,489404.10353038,7375467052.299312,1.2410625258515502,18703.1855745224,0.0333,501.84101659523805,1478594.44692438,22282863074.372513,0.055268316115101065,0.07819016610352011,0.0641204711166392,21783199744.0,4.351568910504105,29158666796.299313,4.6512520051350155,43357524.66588242,5620965834.712874,15.981682174278944,1572480888196,0.958377358464746,57.241630132336894,7.563133632553686,5.180494298715288,13.169961886969494,16.844780049424614,42.758369867663085,35.1952362351094,30.01474193639411,16.844780049424614,45.70304588379675,329.7439045304139,0.07819016610351998,0.0641204711166392,0.05581585220881729,0.055268316115101086,40.77722958082239,369.57637763952926
2018-01-05,1069525,143,152867353,1069002.46853147,3.26196426,285287177348.3089,87458707327.67488,1931136454487.72,0.00207492240831249,35.267928027935774,0.00108971,18.52204867871567,704.3137371999071,11971380.75772897,13727615.8797194,1787.5,3.88718086107111,30382543.99170812,1787.5,30382543.99170812,32.28714867,64.38811437332764,1,16997.2274079486,1598.8764812702786,21.477034366828185,16784336.08618409,20276128.125,13989066.17851995,339441,1002989,519845.72122054,8835935940.634571,1.6693850155332899,28374.916740441127,0.03146711,534.8536245409335,1674374.80734472,28459729366.578335,0.05583541678982073,0.07467212286477219,0.06503013066505599,23840899072.0,4.310330852241323,32676835012.63457,4.242501503370474,42353924.74943709,5663319759.462312,18.454221413665994,1143883725625,1.4859226534289212,57.28126614516018,7.557849161132002,5.167568904713338,13.157430002021442,16.83588578697306,42.71873385483984,35.16088469370784,29.9933157889945,16.83588578697306,42.04649220998926,404.2484049099929,0.07467212286477201,0.06503013066505597,0.05693468805714511,0.05583541678982074,37.133750262045204,457.7298896018495
2018-01-06,1163503,168,176904246,1053001.46428571,3.24692954,287108308287.3724,88424557641.2299,1931136454487.71,0.0019193927881448602,32.82850591477307,0.0010431,17.840753977614387,684.205947189797,11702377.50343571,16127548.725824099,2100.0,4.56618662868446,35917537.4872881,2100.0,35917537.4872881,39.388678799999994,63.828863668980496,1,17103.589279661002,1816.445944015317,0.4185925036480134,16786436.08618407,20276653.125,13991315.74702992,356470,1001908,426174.13418483,7289107352.712466,1.8829387160178,32205.010437540677,0.021179765,362.2500015997393,1886531.36308796,32266457597.45548,0.055444798403625456,0.06548073474786982,0.06503726594809958,18314600448.0,4.324287456093439,25603707800.712467,4.304843097251839,47619914.99072381,5710939674.453035,16.51825932595926,1353739231009,1.2634330813411503,57.30053156250381,7.569702220781904,5.153260199056442,13.147879523819505,16.82862649383834,42.69946843749619,35.12976621671429,29.976506017657844,16.82862649383834,42.50746829988409,402.3666890485605,0.06548073474786965,0.06503726594809955,0.05689804123839781,0.05544479840362547,37.80534759978052,452.4119037530103
2018-01-07,1130388,162,169893059,1048722.58641975,3.04278121,272505179860.49524,89557927689.4414,1931136454487.72,0.0018678022530773102,30.31759649117197,0.00114495,18.584479189580776,695.879614219857,11295305.654327637,15551564.842759,2025.0,4.4025774381920995,32869182.37381639,2025.0,32869182.37381639,33.61711289,59.66208938258745,1,16231.6949994155,1696.628037489959,-0.40980698323299264,16788461.08618405,20277159.375,13993957.65132876,372566,1037841,499402.22828309995,8106144651.5197525,2.08768943157564,33886.73810683891,0.02783524,451.8131259155303,2166689.68735589,35169046163.53973,0.05564003536529685,0.06569058040397067,0.06547257712149926,15866000384.0,4.329201147555569,23972145035.519753,4.617658007481248,44164488.028144024,5755104162.481179,16.904747846020605,1277777030544,1.2703073080367573,57.34152904783898,7.549795566796069,5.1457144665684185,13.142997491455798,16.819963427340756,42.65847095216104,35.108675385364975,29.962960918796554,16.819963427340756,45.50082642622791,356.73407000052003,0.0656905804039705,0.06547257712149926,0.05727718921093966,0.05564003536529687,40.32558645379872,402.5160308086841
2018-01-08,1157303,166,174459805,1050962.68072289,2.80152545,250807207092.34372,89525228754.02298,1931136454487.71,0.0020134698245218396,30.076034538907187,0.0011452,17.10632776040539,696.368606160105,10401946.9254553,15935554.098135699,2075.0,4.5107255427413495,30995136.310549404,2075.0,30995136.310549404,36.48311025,54.26951147355618,1,14937.415089421398,1537.0039109967881,-0.7482172786344082,16790536.08612404,20277678.125,13995845.86655827,345855,1009968,460227.64969602,6874611439.138274,1.7265000721688601,25789.44822990225,0.026000000000000002,388.3727923249564,1743709.82488824,26046517449.85794,0.0560695100962115,0.06583550702590726,0.06621313383726711,18413899776.0,4.321419992855213,25288511215.138275,5.11318878839643,41397083.2360047,5796501245.717184,16.59882724616871,1339350233809,1.115273265525227,57.64385636065567,7.547990815323291,5.132206024463404,12.863759435730572,16.812187363827093,42.35614363934436,34.808152824021064,29.675946799557664,16.812187363827093,50.11661887399904,298.05312938162047,0.06583550702590708,0.06621313383726714,0.0581371504200583,0.05606951009621152,44.07616566086927,338.9000577852625
2018-01-09,1145338,164,173398782,1057309.64634146,2.69017079,241453646852.43872,89754021493.67204,1931136454487.71,0.00209362244216257,30.103330791353017,0.00119899,17.239781088820447,742.972170539623,10682889.411245191,15743559.4704474,2050.0,4.4558354273924605,29476101.745704234,2050.0,29476101.745704234,36.56896653,51.635309054012424,1,14378.5862174167,1491.4165237942505,-7.08506208849079,16792586.08610402,20278190.625,13998471.62065723,354874,1020826,459203.18996904,6602692658.28262,1.51682592057933,21809.812275862358,0.02980057,428.49006507316165,1548415.33720132,22264023426.31953,0.05615838511420895,0.06596639458553764,0.06561453035394238,16659999744.0,4.320892443920616,23262692402.28262,5.404929129451646,40158991.15694942,5836660236.874133,16.472446683390825,1311799134244,1.0960966387360205,57.60891462295141,7.560444646239262,5.128067083415056,12.871505847219488,16.831067800174782,42.39108537704858,34.83064073080932,29.70257364739427,16.831067800174782,53.02627065060336,271.15967313935727,0.06596639458553746,0.06561453035394238,0.058382999283604256,0.05615838511420897,46.5613193664643,308.80968179292717
2018-01-10,1118949,166,175122775,1054956.47590361,2.73334467,246362365863.32315,90132198891.48787,1931136454487.71,0.00206790723581468,30.334313767308966,0.00114788,16.838353038356072,719.013413799781,10547271.231203884,15935554.098135699,2075.0,4.5096176464502005,30438358.15119076,2075.0,30438358.15119076,35.82997797,52.08947563697158,1,14669.0882656341,1518.213491336188,-13.06433051039931,16794661.086094,20278709.375,14000382.6166918,347701,992673,468732.10752551,6875872658.228401,1.4827148336650902,21750.074767798185,0.03,440.07264796902297,1471850.98207883,21590711969.97459,0.05594027629723964,0.0639603070119869,0.06521836172898109,18500800512.0,4.315830864052542,25376673170.2284,5.389788420515391,40985629.38239464,5877645866.256528,16.468342589777183,1252046864601,1.171608561977336,57.649795014066754,7.566050359013621,5.095196409370106,12.871687292826362,16.81727092472316,42.350204985933246,34.78415462691963,29.688958217549523,16.81727092472316,52.88869087545812,277.35774931878643,0.06396030701198671,0.06521836172898109,0.05738276726612811,0.05594027629723967,46.62158292234943,314.64157469870116
2018-01-11,1222969,193,204184080,1057948.60103627,2.45400706,221498893134.7169,90260087885.45006,1931136454487.71,0.0020740225576766197,27.349627213762396,0.00114919,15.15408691262853,693.9285413697951,9150665.622805119,18527481.571928896,2412.5,5.242356625317179,31813046.299320687,2412.5,31813046.299320687,35.92257189,46.428964985933725,1,13186.7549427236,1572.7781023114733,-24.361550239176196,16797073.58609399,20279312.5,14003234.76267648,334581,919101,467591.06322542,6166008764.161192,1.3608435395147198,17945.110270969213,0.027033699999999997,356.48677709510696,1250752.65801152,16493368795.158094,0.05593214404422614,0.06616918592091199,0.06582651751536077,16534099968.0,4.348711376752748,22700108732.161194,6.078159397200367,40963711.9221258,5918609578.178654,14.814240557948343,1495653174961,0.8816719787371462,57.601755880172036,7.639207970673811,5.088721151034803,12.861382326194482,16.80893267192487,42.398244119827964,34.759036149154156,29.670314998119352,16.80893267192487,59.25968950235523,222.524874049492,0.0661691859209118,0.06582651751536076,0.05861915970546042,0.055932144044226154,52.24523762585641,252.4010903569403
2018-01-12,1153290,178,187564284,1053731.93258427,2.55762013,231652981446.49854,90573646445.21478,1931136454487.71,0.00204803525286568,28.241266741152767,0.00114976,15.854550747050732,624.0916384998079,8605876.490228612,17087521.864266,2225.0,4.83427921611405,30681512.15226472,2225.0,30681512.15226472,42.08976645,48.1517688264828,1,13789.443663939199,1608.4965503800165,-16.50429141558336,16799298.58608398,20279868.75,14005426.12985717,304727,855740,399130.24001112,5503783959.207872,1.4295553902488403,19712.773518316997,0.025,344.73609159848,1223327.72965154,16869008810.564556,0.055858739522667684,0.06632016959486238,0.06468679999415057,12065699840.0,4.3408930414357485,17569483799.20787,5.878949522837439,39287388.64249334,5957896966.821147,16.154438473080155,1330077824100,1.0367396113283713,57.674374062098025,7.639722624716994,5.030865001898565,12.849273447706711,16.805764863579686,42.32562593790196,34.685903313184966,29.655038311286397,16.805764863579686,57.32235649121734,240.55960899046346,0.06632016959486217,0.06468679999415058,0.058696854549480745,0.055858739522667705,50.603634343576495,272.49907724640724
2018-01-13,939348,149,151160328,1014498.84563758,2.63127775,239101104762.35956,90868820059.50842,2144210928915.25,0.00199312856203463,28.364661148961705,0.00115185,16.392236590638895,526.791851459727,7496893.400311278,15881806.2094572,1862.5,4.04622333252357,26505656.68278416,1862.5,26505656.68278416,53.02035754,49.37165492757981,1,14231.2250645821,1621.352035640474,-14.284665731705624,16801161.08608397,20280334.375,14005868.89716758,264304,730867,316881.32381609996,4509609437.989639,1.2535564169938602,17839.643501390747,0.025,355.78062661455255,916183.01781905,13038406726.930931,0.05492821459214437,0.06664665466512656,0.06473317428798225,12763599872.0,4.3078247963041765,17273209309.98964,5.75932649852036,34002550.08309544,5991899516.9042425,19.26536445931295,882374665104,1.6128324653229653,57.67690701432792,7.66423301326985,5.015680455973293,12.829013897388064,16.8141656190409,42.323092985672105,34.658859972402254,29.643179516428965,16.8141656190409,56.583664020144404,251.5076623443054,0.06664665466512636,0.06473317428798225,0.05867371359027322,0.05492821459214438,50.7977396870916,280.1546909812298
